"GENDER","ESCS","STATE","GEOLOC","INDIG","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST29Q02","ST29Q05","ST29Q07","ST29Q08","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST37Q01","ST37Q02","ST37Q03","ST37Q04","ST37Q05","ST37Q06","ST37Q07","ST37Q08","ST91Q01","ST91Q02","ST91Q03","ST91Q04","ST91Q05","ST91Q06","ST43Q01","ST43Q02","ST43Q03","ST43Q04","ST43Q05","ST43Q06","ST44Q01","ST44Q03","ST44Q04","ST44Q05","ST44Q07","ST44Q08","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST35Q01","ST35Q02","ST35Q03","ST35Q04","ST35Q05","ST35Q06"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0,12.94,1.77,2.59,1.52,0,48.76,36.52,12.9,0,13.83,5.87,4.77,0,0,1.38,11.64,2.32,10.53,22.83,23.74,0.85,35.37,4.55,56.47,0,1.94,15.72,0,15.12,45.45,0.04,3.93,1.28,1.38,24.38,1.28,6.09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,7.67,36.96,6.93,8.02,0.78,5.31,85.26,154.46,0,76.91,4.79,172.1,186.45,135.16,72.03,25.4,1.22,4.84,99.58,465.88,270.17,4.23,3.06,7.04,7.62,3.63,133.43,4.13,424.56,3930.12,7.39,1.43,0.66,27.7,26.77,6.72,39.65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,12.75,12.65,34.46,59.52,12.14,0,3.15,4.56,0,0,9.73,5.18,0,3.83,10.22,3.19,1.95,36.57,2.6,4.12,0.08,0.96,68.26,15.9,0,173.92,1.67,6.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,0.02,3.45,165.67,11.74,18.39,5.7,62.69,6.77,25.14,180.62,17.89,60.46,0,2.4,23.43,0.23,0.29,9.4,14.96,42.73,0,0,1.26,50.14,0,0,28.18,14.35,2.51,9.74,1.03,115.34,4.21,5.5,15.25
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.38,77.84,3542.81,236.57,12.72,10.47,44.16,0.77,4.92,15.69,126.1,151.35,0,0.33,0.3,1.04,0,35.56,35.7,40.61,5.91,0,3.29,28.94,0.95,0,1.55,37.31,0,0,3.21,117.14,0,9.29,4.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,1171.16,54.16,7.52,0,45.76,0,7.54,3.88,22.82,56.44,0,0,80.68,0,5.56,684.85,0,5.08,0.73,0,16.55,6.79,0,0.01,26.4,2255.7,0.97,0,0,102.82,0,0,10.89
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.84,22.97,6.14,0.04,0,0.43,4.52,5.49,0,587.36,13.51,0,6.52,49.29,0,46.24,8.28,38.98,16.57,0,19.24,19.99,7.86,0.5,1.42,176.45,0,0,0.5,288.98,4.28,31.11,16.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.68,22.14,3.24,0,8.11,9.02,8.99,0,593.63,0,5.31,67.27,3.54,6.14,8.07,5.41,37.69,4.79,0.38,13.51,22.57,1.76,1.2,216.25,723.65,0,0,0,336.37,2.06,0,13.66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,58.19,0,13.76,0.65,17.71,3.93,74.68,0,0,100.3,3.87,110.21,282.41,1.94,17.37,21.52,13.17,5.24,3.77,5.3,0,90.59,134.5,0,170.71,0,747.05,13.09,1.11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31,5.9,15.5,1.17,47.87,18.25,78.46,5.73,2.7,68.62,4.4,0.37,39.18,41.9,13.03,2.17,0.37,43.77,14.85,14.15,18.15,42.4,92.52,49.43,9.43,0,44.07,75.83,3.5,3.69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64,0,171.74,73.72,45.05,0,0,1.29,15.5,0.98,90.82,3.07,4.05,0,0.57,3.28,4.68,8.9,0,6.39,7.03,0,13.93,0,3.33,12.27,5.97,0.96
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,45.86,0,4.15,92.28,1.36,0,17.54,1.51,0,0,0,25,0,9.68,0,5.35,0.22,21.58,0,1.09,0,0,51.21,10.28,39.06,7.12,8.68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42,4.31,23.04,0,2.36,0,65.02,0.38,0,2.51,4.14,0.41,0.03,0.32,2.91,7.38,6.33,0,0,14.86,1.25,14.93,2.77,161.23,4.69,36.73,0.08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.18,86.74,5.57,0,0,1865.1,22.78,5.99,0,31.17,16.51,18.08,15.5,19.07,73.88,8.58,0.49,0,32.07,29.26,7.63,58.44,45.09,0,0.13,2.18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.67,0,1.23,35.38,0,1.79,1.06,0.47,22.97,5.91,19.72,3,0,1.47,8.73,0,15.26,1.47,13.52,3.78,71.39,62.89,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756.17,17.74,35.07,1.91,0.01,2.66,107.1,1.43,82.01,0,0,7.44,7.79,19.04,0,57.19,119.34,74.23,30.08,15.91,12.87,1465.31,4.16,137.98
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.43,2.95,0,28.06,1.51,90.57,41.9,7.25,15.02,31.74,26.87,0,2.43,251.03,0.18,683.43,0.82,22.58,23.04,9.06,6.37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,33.15,0,26.76,5.44,150.23,9.8,0,3.07,24.38,7.42,0,0,8.19,4.89,75.95,3.64,21.17,0,0.22,7.44,18.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399.38,314.51,7.2,16.61,2.92,1670.38,2.47,356.73,785.53,35.66,16.31,0,0,7.24,0,186.2,0,122.37,7.69,2.92,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23,1.82,0.27,80.75,157,0,79.84,32.13,30.75,0.73,0,5.21,23.51,4.32,0.13,0.79,49.94,2.3,10.98,26.14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.72,9.91,14.47,598.37,2.67,8.42,103.8,3.74,0,0,1.03,2.3,0,5.27,7.83,257.45,15.47,0,4.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.78,208.48,14.01,0,0.52,34.11,0,0.01,16.06,0,124.3,0,0,0,12.76,50.07,0.07,0.08
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.77,49.89,0,0,0,0,0,0,0,1.41,11.57,0,17.53,17.34,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.9,110.76,2.04,97.11,844.03,6.74,0.49,0,604.88,16.9,38.84,1.62,89.87,42.58,0.23,1.38
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78,6.52,113.84,480.63,11.56,0,5.7,1.13,3.01,67.2,1,48.32,31.26,4.7,2.09
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0.57,7.09,1.75,12.9,15.43,0.17,1.92,10.58,9.33,135.64,2.45,9.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.55,157.63,0.12,5.47,7.74,0,0,0.26,11.33,0,0.36,0.36,12.17
