"Feature","Gain","Cover","Frequence"
"ST37Q05",0.175318885475537,0.0778522618056764,0.054809747755451
"ST37Q03",0.118234156796334,0.0729339692012468,0.055550805187402
"ST37Q02",0.114422327960925,0.061370258703863,0.0438934017386347
"ST42Q02",0.0739769137616949,0.0592112992558123,0.0480547242411287
"ST37Q07",0.0667411678583877,0.0556550137979574,0.047513182271626
"ST43Q06",0.0641749501988512,0.0602072254456817,0.0533561351004703
"ST37Q04",0.0636247956377317,0.0619925892852761,0.0562633604104318
"ESCS",0.0493601919116543,0.0662822108208778,0.0829414279606669
"ST37Q06",0.0432975750982811,0.0499879096298313,0.0490808037622916
"ST37Q01",0.0432799634308099,0.0508679223164421,0.0498788656120849
"ST91Q06",0.0359695935673177,0.0508755778679134,0.0520735356990167
"ST42Q08",0.0341130227068498,0.0493588158618424,0.0527005842952829
"ST42Q04",0.0248200355454088,0.0423390743785436,0.0433233575602109
"ST42Q05",0.0170791211336645,0.031081703356445,0.0349437081373806
"INDIG",0.0159859787362505,0.0390418330565163,0.0502208921191392
"ST42Q07",0.0113494030259039,0.023009652311858,0.024426393045461
"ST37Q08",0.00928233243605693,0.0210154046368736,0.0219181986603962
"ST42Q06",0.00839701117010803,0.016797759375074,0.0180418982471142
"ST42Q03",0.00750896914988217,0.0176526449448926,0.020407581587573
"ST42Q09",0.00470555042237966,0.0113008620691072,0.0113438791506342
"ST43Q01",0.00383280635313022,0.0113697385490621,0.0141370956249109
"ST42Q01",0.00313086377397968,0.00927751860187462,0.0125979763431666
"ST43Q05",0.00312623460168834,0.0105278862033741,0.0133390337751176
"ST91Q01",0.00141407305300257,0.00764761412037819,0.0148781530568619
"ST44Q08",0.000885221798185015,0.00660596597126158,0.0082656405871455
"ST43Q03",0.000753762766388693,0.00388272662657396,0.00644149921618925
"ST35Q03",0.00071795875394729,0.00616572479508895,0.0105458173008408
"ST91Q05",0.000654298724244595,0.00418145751696133,0.00912070685478125
"ST29Q05",0.000609214716870493,0.00253077032671616,0.00324925181701582
"ST43Q02",0.00056940869059671,0.00214144091615628,0.00276471426535556
"ST91Q03",0.00043402393890231,0.0026750751236213,0.00475986888983896
"ST35Q04",0.000359744308263453,0.00192419703069338,0.00393330483112441
"ST43Q04",0.000325480421724073,0.00166078500353553,0.00307823856348867
"ST29Q06",0.000228960702259498,0.00117857919399113,0.0019951546244834
"ST29Q07",0.000191998913320071,0.000793570708188061,0.000940572894399316
"ST42Q10",0.000188979444178632,0.00121580020344511,0.00182414137095625
"ST29Q04",0.000123798056417343,0.000976482028463763,0.00151061707282314
"ST91Q04",0.000122347591275606,0.000868435426256996,0.00171013253527148
"GEOLOC",0.000115487829011751,0.00136351007692491,0.00233718113153769
"ST44Q01",9.76360419976118e-05,0.000606972511897044,0.00116859056576885
"ST44Q05",8.37889451799514e-05,0.000765461213982127,0.00151061707282314
"ST44Q04",6.00060153751344e-05,0.000609626123296602,0.000627048596266211
"ST29Q02",5.57885097911789e-05,0.000314276826197166,0.000541541969502636
"ST35Q01",5.54052597427497e-05,0.000452006302820223,0.00162462590850791
"ST29Q01",5.18644162521461e-05,0.000599223027278867,0.00176713695311387
"STATE",4.79742900484412e-05,3.05987225984388e-05,0.00105458173008408
"ST29Q03",4.51124169102075e-05,0.000403419382592924,0.00114008835684766
"ST91Q02",1.95282398851732e-05,9.40505633206044e-05,0.00082656405871455
"ST29Q08",1.49387476046488e-05,6.76083824719151e-05,0.00039903092489668
"ST44Q03",1.47034755852199e-05,0.000144492663198921,0.000342026507054297
"ST35Q05",1.01530065524883e-05,2.51271167922713e-06,0.000142511044605957
"ST35Q02",8.35949833596715e-06,1.19060263679267e-05,0.000427533133817871
"ST35Q06",5.76376303965763e-06,4.48295943518187e-05,5.70044178423828e-05
"GENDER",1.74022110235306e-06,3.05282727382736e-07,5.70044178423828e-05
"ST44Q07",6.26691181930179e-07,3.14441209204218e-05,0.000142511044605957
