"CNT"	"SUBNATIO"	"STRATUM"	"OECD"	"NC"	"SCHOOLID"	"SC01Q01"	"SC02Q01"	"SC02Q02"	"SC02Q03"	"SC02Q04"	"SC03Q01"	"SC04Q01"	"SC05Q01"	"SC07Q01"	"SC07Q02"	"SC09Q11"	"SC09Q12"	"SC09Q21"	"SC09Q22"	"SC09Q31"	"SC09Q32"	"SC10Q11"	"SC10Q12"	"SC10Q61"	"SC10Q62"	"SC10Q21"	"SC10Q22"	"SC10Q41"	"SC10Q42"	"SC10Q51"	"SC10Q52"	"SC11Q01"	"SC11Q02"	"SC11Q03"	"SC13Q01"	"SC13Q02"	"SC13Q03"	"SC14Q01"	"SC14Q02"	"SC14Q03"	"SC14Q04"	"SC14Q05"	"SC14Q06"	"SC14Q07"	"SC14Q08"	"SC14Q09"	"SC14Q10"	"SC14Q11"	"SC14Q12"	"SC14Q13"	"SC15Q01"	"SC15Q02"	"SC15Q03"	"SC15Q04"	"SC16Q01"	"SC16Q02"	"SC16Q03"	"SC16Q04"	"SC16Q05"	"SC16Q06"	"SC16Q07"	"SC16Q08"	"SC16Q09"	"SC16Q10"	"SC16Q11"	"SC18Q01"	"SC18Q02"	"SC18Q03"	"SC18Q04"	"SC18Q05"	"SC18Q06"	"SC18Q07"	"SC18Q08"	"SC19Q01"	"SC19Q02"	"SC20Q01"	"SC21Q05"	"SC22Q01"	"SC22Q02"	"SC22Q03"	"SC22Q04"	"SC22Q05"	"SC22Q06"	"SC22Q07"	"SC22Q08"	"SC22Q09"	"SC22Q10"	"SC22Q11"	"SC22Q12"	"SC22Q13"	"SC22Q14"	"SC22Q15"	"SC22Q16"	"SC22Q17"	"SC22Q18"	"SC22Q19"	"SC23Q01"	"SC24Q01"	"SC25Q01"	"SC25Q02"	"SC25Q03"	"SC25Q04"	"SC25Q05"	"SC25Q06"	"SC25Q07"	"SC25Q08"	"SC25Q09"	"SC25Q10"	"SC25Q11"	"SC25Q12"	"SC26Q01"	"SC26Q02"	"SC26Q03"	"SC26Q04"	"SC27Q01"	"SC27Q02"	"SC28Q01"	"SC28Q02"	"SC29Q01"	"SC29Q02"	"SC30Q01"	"SC30Q02"	"SC30Q03"	"SC30Q04"	"SC31Q01"	"SC31Q02"	"SC31Q03"	"SC31Q04"	"SC31Q05"	"SC31Q06"	"SC31Q07"	"SC32Q01"	"SC32Q03"	"SC32Q04"	"SC32Q05"	"SC32Q06"	"SC32Q07"	"SC32Q08"	"SC33Q01A"	"SC33Q01B"	"SC33Q01C"	"SC33Q01D"	"SC33Q01E"	"SC33Q02A"	"SC33Q02B"	"SC33Q02C"	"SC33Q02D"	"SC33Q02E"	"SC33Q03A"	"SC33Q03B"	"SC33Q03C"	"SC33Q03D"	"SC33Q03E"	"SC33Q04A"	"SC33Q04B"	"SC33Q04C"	"SC33Q04D"	"SC33Q04E"	"SC33Q05A"	"SC33Q05B"	"SC33Q05C"	"SC33Q05D"	"SC33Q05E"	"SC33Q06A"	"SC33Q06B"	"SC33Q06C"	"SC33Q06D"	"SC33Q06E"	"SC33Q07A"	"SC33Q07B"	"SC33Q07C"	"SC33Q07D"	"SC33Q07E"	"SC33Q08A"	"SC33Q08B"	"SC33Q08C"	"SC33Q08D"	"SC33Q08E"	"SC33Q09A"	"SC33Q09B"	"SC33Q09C"	"SC33Q09D"	"SC33Q09E"	"SC33Q10A"	"SC33Q10B"	"SC33Q10C"	"SC33Q10D"	"SC33Q10E"	"SC33Q11A"	"SC33Q11B"	"SC33Q11C"	"SC33Q11D"	"SC33Q11E"	"SC33Q12A"	"SC33Q12B"	"SC33Q12C"	"SC33Q12D"	"SC33Q12E"	"SC34Q01"	"SC34Q02"	"SC34Q03"	"SC34Q04"	"SC34Q05"	"SC34Q06"	"SC34Q07"	"SC34Q08"	"SC34Q09"	"SC34Q10"	"SC34Q11"	"SC34Q12"	"SC34Q13"	"SC34Q14"	"SC34Q15"	"SC34Q16"	"SC34Q17"	"SC34Q18"	"SC34Q19"	"SC34Q20"	"SC34Q22"	"SC35Q01"	"SC35Q02"	"SC39Q01"	"SC39Q02"	"SC39Q03"	"SC39Q05"	"SC39Q06"	"SC39Q07"	"SC39Q08"	"SC39Q09"	"SC39Q10"	"SC40Q01"	"SC40Q02"	"SC40Q03"	"SC44Q01"	"SC44Q02"	"SC44Q03"	"SC44Q04"	"SC44Q05"	"SC44Q06"	"SC47Q01"	"SC45Q01"	"SC46Q01"	"SC46Q02"	"SC46Q03"	"SC46Q05"	"SC46Q04"	"SC46Q06"	"SC46Q09"	"SC52Q01"	"SC46Q07"	"SC46Q08"	"SC52Q02"	"SC51Q01"	"SC51Q02"	"ABGMATH"	"ASSESS"	"CLSIZE"	"COMPWEB"	"CREACTIV"	"LEADCOM"	"LEADINST"	"LEADPD"	"LEADTCH"	"MACTIV"	"MATHEXC"	"PCGIRLS"	"PROPCERT"	"PROPMA5A"	"PROPMATH"	"PROPQUAL"	"RATCMP15"	"RESPCUR"	"RESPRES"	"SCHAUTON"	"SCHLTYPE"	"SCHSEL"	"SCHSIZE"	"SCMATBUI"	"SCMATEDU"	"SMRATIO"	"STRATIO"	"STUDCLIM"	"TCFOCST"	"TCHPARTI"	"TCMORALE"	"TCSHORT"	"TEACCLIM"	"W_FSCHWT"	"SENWGT_SCQ"	"VER_SCQ"
"AUS"	360000	"AUS0411"	1	3600	134	1	97	3	0	0	5	1	4	573	488	60	21	60	21	60	21	13	0	13	0	9	0	13	0	0	0	212	212	212	2	2	3	2	2	2	2	2	1	1	1	2	2	2	1	1	2	2	2	2	1	1	1	1	2	1	1	2	1	1	2	1	2	1	1	1	2	1	1	1	1	1	3	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	2	1	2	2	1	2	4	12	8	75	1	2	0	1	0	2	2	0	3	2	1	1	2	3	1	3	3	2	1	1	1	1	1	1	3	1	1	1	1	2	1	2	2	3	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	1	2	2	2	1	1	2	1	2	1	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2	1	1	5	4	5	6	3	6	6	5	6	5	5	5	6	5	5	5	3	5	4	3	5	5	50	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	28	1	3	1.2642	0.7066	1.7628	0.9477	3	3	0.46	1	0.692	0.184	1	1	-0.67	-0.56	-0.3533	3	2	1061	0.5582	0.4606	81.615	15.05	-0.1621	-1.2132	1.2429	0.0826	0.7093	0.2464	2.2188	0.8823	"28NOV13"
"AUS"	360000	"AUS0823"	1	3600	135	1	90	10	0	0	3	2	4	494	427	64	15	64	15	64	15	8	3	8	3	4	2	8	3	0	0	342	800	800	2	1	3	1	2	2	3	1	2	1	1	2	1	3	1	3	2	1	2	2	2	2	2	1	2	1	2	2	2	1	2	1	1	1	2	1	2	2	2	2	2	2	2	4	4	4	3	3	3	2	2	3	2	3	3	3	3	1	3	2	2	2	30	2	1	10	5	10	0	0	0	0	0	1	0	0	3	3	3	2	4	1	2	4	1	2	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	3	1	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	1	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	5	5	2	4	5	4	5	3	4	2	4	2	4	2	1	3	4	3	2	0	0	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	4	28	1	0	0.1329	-0.2137	0.1183	-0.6535	2	2	0.464	1	0.526	0.133	1	2.339	-0.81	-0.53	-1.2805	3	1	921	-0.4622	0.7524	96.947	12.881	-1.8747	-1.7632	-1.8472	-2.1462	0.7093	-1.1788	1	0.3976	"28NOV13"
"AUS"	360000	"AUS0205"	1	3600	136	1	100	0	0	0	1	2	1	79	95	25	1	25	1	25	1	3	0	3	0	1	0	2	0	0	0	14	28	28	3	2	3	1	1	1	2	3	2	2	3	3	2	4	3	4	2	2	2	2	2	2	1	2	2	2	2	2	2	1	1	1	2	1	2	1	2	1	2	1	1	2	9	3	3	3	3	3	3	2	3	3	3	3	2	2	3	1	2	2	2	2	25	2	10	75	50	80	0	25	0	50	5	30	100	0	2	2	2	2	3	2	3	2	3	2	1	1	2	2	1	1	2	2	4	1	2	3	3	3	2	3	3	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	1	1	2	2	2	1	1	2	1	2	1	1	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	1	2	2	2	6	3	4	6	6	6	6	6	6	6	6	6	6	5	5	5	5	5	5	5	6	0	0	1	1	1	1	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	4	13	1	0	0.8948	2.1468	1.7628	2.258	0	9	0.546	1	0.333	0.118	1	2	-0.43	-0.46	-0.0586	3	3	174	-1.9349	-0.6941	58	6.824	-1.5516	-1.2132	1.6345	-0.7371	-0.2817	-0.8958	19.5143	7.7598	"28NOV13"
"AUS"	360000	"AUS0102"	1	3600	137	1	95	4	1	0	4	1	4	362	339	64	10	64	10	64	10	11	2	11	2	10	1	11	2	0	0	131	130	130	1	1	3	2	3	2	2	2	3	2	2	2	3	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	3	3	3	4	3	4	4	2	3	3	3	4	3	3	3	2	2	2	3	3	5	2	20	50	30	50	0	5	0	1	1	5	5	0	2	2	2	2	3	2	3	2	3	2	1	1	1	2	1	1	2	2	2	2	2	2	2	2	2	2	3	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1	2	2	2	5	4	5	5	3	5	6	3	6	4	4	2	4	3	3	3	4	3	5	5	2	10	100	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	28	1	3	0.7162	0.0432	0.6627	-0.3206	4	3	0.484	1	0.875	0.174	1	0.992	-0.62	-0.56	-0.6029	3	2	701	-0.1662	-0.5214	58.417	10.159	-2.0368	-1.2132	0.2924	-0.7371	0.9454	-1.7041	1	0.3976	"28NOV13"
"AUS"	360000	"AUS0205"	1	3600	138	1	100	0	0	0	3	1	4	530	470	55	4	10	0	55	4	9	0	9	0	8	0	9	0	0	0	173	173	173	2	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	3	1	1	2	1	2	1	2	2	2	1	1	1	2	1	1	1	2	1	2	2	2	1	3	2	2	2	3	2	2	2	2	2	2	2	2	1	1	2	3	2	2	2	3	2	60	60	40	50	0	0	0	0	1	5	0	0	2	2	1	1	1	3	2	2	2	2	1	1	1	2	1	1	3	2	2	2	3	2	2	1	1	2	3	1	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	3	2	4	4	4	5	5	5	5	4	5	2	5	5	4	5	4	5	4	4	2	10	80	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	5	28	1	2	0.3404	0.7066	0.3739	-0.0388	3	3	0.47	0.175	0.889	0.158	1	1	-0.25	-0.56	-0.6029	3	2	1000	-0.1662	-0.1702	111.111	17.544	-0.3977	0.702	-0.5646	0.4686	0.7093	-0.2762	2.6953	1.0718	"28NOV13"
"AUS"	360000	"AUS0101"	1	3600	139	2	60	34	4	2	4	1	4	813	648	98	15	95	15	98	15	9998	3	9998	0	9998	9998	9998	0	0	0	252	252	252	3	4	5	1	1	1	1	1	1	1	9	9	9	9	9	9	1	2	1	2	1	1	2	1	2	1	1	9	9	9	9	1	2	1	2	2	2	2	9	1	1	1	3	1	2	2	2	2	2	1	9	9	9	9	9	9	9	9	9	9	9	9	1	2	5	10	10	60	1	5	0	9999	9999	9999	9999	9999	2	2	1	1	2	1	1	2	1	9	1	1	2	2	1	1	3	3	4	2	3	1	2	3	2	3	1	9	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	3	4	5	5	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	50	1	1	1	1	1	1	1	9	9	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	2	28	1	2	0.5039	1.0563	9999	9999	3	3	0.444	0.972	9998	9999	1	1	-0.81	0.67	-0.6029	2	2	1461	9999	1.4516	9999	13.848	0.4711	0.702	-1.8472	0.4686	-1.0911	9999	1	0.3976	"28NOV13"
"AUS"	360000	"AUS0307"	1	3600	140	2	80	19	1	0	3	1	4	609	613	56	35	56	35	56	35	4	12	4	12	3	8	4	12	0	0	193	193	193	2	2	2	3	3	3	3	3	3	3	2	3	2	3	2	3	2	2	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	3	2	3	2	3	3	2	3	2	2	3	3	3	2	2	3	1	2	10	5	5	5	5	2	0	0	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	3	2	3	1	2	2	3	3	3	3	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	5	5	5	6	5	5	4	5	3	4	3	3	3	4	2	5	100	100	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	8	28	1	3	1.4765	1.1806	0.6627	0.6907	2	2	0.502	1	0.7	0.136	1	1	-0.81	-0.02	-1.0532	2	3	1222	-0.763	-0.87	122.2	16.626	-1.0211	0.0095	-1.8472	-0.7371	1.7565	-1.3144	2.4215	0.9629	"28NOV13"
"AUS"	360000	"AUS0411"	1	3600	141	1	80	20	0	0	3	1	3	617	614	90	27	90	27	90	27	28	4	28	4	16	2	28	4	0	0	271	250	250	1	2	3	3	2	3	3	1	1	1	2	2	1	1	1	2	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	2	3	2	3	3	2	3	3	3	3	2	3	2	5	2	5	20	5	15	1	1	0	2	1	2	2	1	2	2	2	1	2	2	2	2	3	2	1	1	1	2	1	1	2	1	2	2	2	3	3	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	2	1	1	2	1	2	1	1	2	1	2	1	2	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2	1	2	6	3	3	5	6	5	5	5	6	4	4	3	5	4	3	3	3	4	4	3	2	30	70	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	8	23	1	2	0.3404	1.1806	0.6627	-0.0388	5	3	0.499	1	0.567	0.29	1	0.923	-0.67	-0.73	-0.6029	3	3	1231	0.5582	0.7524	41.033	11.894	-1.5516	-0.6748	1.2429	0.0826	1.4526	-1.4467	1.6084	0.6396	"28NOV13"
"AUS"	360000	"AUS0309"	1	3600	142	2	36	63	0	1	5	1	3	573	573	84	40	84	40	84	40	18	3	18	3	12	2	18	3	0	0	195	195	195	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	2	2	1	2	1	1	2	3	1	1	2	2	1	2	1	2	2	1	2	1	1	2	1	2	2	1	2	0	1	5	20	10	33	1	1	0	1	2	2	2	1	1	1	1	1	2	3	2	3	3	3	1	1	1	2	1	1	4	1	2	2	2	2	3	3	2	3	2	2	1	1	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	1	2	2	2	6	6	6	5	5	6	6	5	5	4	4	3	4	4	4	4	3	3	3	3	5	11	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	2	23	1	3	1.4765	1.1806	0.3739	-0.0388	3	3	0.5	1	0.667	0.188	1	1	1.44	-0.02	0.3196	1	3	1146	1.3052	1.976	58.769	11.019	0.8936	-1.2132	1.9955	1.4452	-1.0911	0.4389	2.5762	1.0244	"28NOV13"
"AUS"	360000	"AUS0412"	1	3600	143	2	38	56	0.01	5.99	3	1	3	0	340	30	5	30	5	30	5	2	4	2	4	2	2	2	4	0	0	46	56	56	4	4	4	3	3	1	3	3	2	1	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	2	2	1	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	1	20	40	60	100	5	5	5	5	2	2	50	0	1	1	1	1	2	3	1	2	2	1	1	1	1	1	3	3	4	2	3	3	3	3	2	2	2	2	1	3	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	6	4	4	4	4	6	5	6	6	4	5	4	5	5	3	2	4	4	2	2	2	0	6	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	7	23	1	3	0.7162	1.1806	0.6627	0.4499	5	3	1	1	0.75	0.123	1	1.217	1.44	-0.02	0.3196	1	3	340	-0.1662	-0.6941	85	10.462	1.1879	0.0095	-0.1437	1.4452	1.1868	0.0647	10.8343	4.3082	"28NOV13"
"AUS"	360000	"AUS0514"	1	3600	144	1	99	1	0	0	1	1	2	125	141	15	3	15	3	15	3	7	1	7	1	2	0	7	1	0	0	32	74	74	2	1	2	1	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	1	1	1	2	1	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	2	9	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	1	3	8	5	90	0	3	1	10	2	10	15	2	1	1	1	1	2	2	2	2	2	3	1	1	1	2	2	1	3	2	2	1	2	3	3	1	1	1	2	1	1	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	2	1	1	1	2	1	2	2	1	2	2	1	2	2	2	2	1	2	1	1	2	1	1	2	2	5	3	3	3	3	4	3	3	4	5	4	3	3	4	3	3	4	4	3	3	2	10	25	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	7	18	1	2	-0.0958	-0.2137	-0.8842	0.2118	1	9	0.53	1	0.267	0.455	1	2.313	-0.43	-0.53	-0.0586	3	3	266	-0.1662	-0.3482	35.467	16.121	0.3493	0.0095	1.6345	1.4452	0.7093	-0.2762	7.1596	2.847	"28NOV13"
"AUS"	360000	"AUS0206"	1	3600	145	2	30	70	0	0	3	1	3	476	515	101	25	94	24	101	25	9	6	9	6	6	3	9	6	0	0	129	464	464	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	3	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	0	1	30	35	30	40	0	15	0	0	0	10	10	15	2	1	1	1	2	3	1	1	2	2	2	1	1	2	1	1	4	2	4	2	2	2	1	1	2	2	1	1	1	1	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	2	2	1	1	2	2	2	1	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	2	2	4	3	3	3	4	4	2	3	4	3	3	2	3	2	3	2	2	1	6	2	5	3	20	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	4	23	1	3	-0.6467	0.0432	-1.1508	-1.0424	3	3	0.52	0.934	0.625	0.106	1	3.597	0.03	-0.02	0.3196	1	2	991	1.3052	1.976	82.583	8.731	1.5235	0.702	1.9955	0.8541	-1.0911	1.9386	3.3723	1.341	"28NOV13"
"AUS"	360000	"AUS0101"	1	3600	146	2	9998	9998	9998	9998	9	9	99	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	9	9	99	9999	9	9999	9999	9999	9999	9	9	0	9999	9999	9999	9999	9999	-0.81	-0.36	-2.8718	9	9	99999	9999	9999	9999	9999	9999	9999	-1.8472	9999	9999	9999	1	0.3976	"28NOV13"
"AUS"	360000	"AUS0411"	1	3600	147	1	99	0.5	0.3	0.2	5	1	4	519	515	64	14	64	14	64	14	17	0	17	0	5	0	17	0	0	0	203	203	203	2	4	4	9	9	9	9	9	9	9	9	9	9	9	9	9	1	1	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	3	3	3	3	3	2	2	2	2	2	2	3	3	2	2	2	2	2	1	2	93	1	40	56	45	47	0	1	0	1	0	1	1	1	2	2	2	1	3	1	1	3	2	3	1	1	2	2	1	1	3	3	3	3	3	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	1	2	2	2	1	1	1	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	2	2	2	6	6	6	6	6	6	5	6	6	5	6	5	4	4	6	3	4	4	5	3	2	0	100	1	1	1	1	1	2	2	1	1	2	2	1	1	1	2	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	7	28	1	3	1.7359	2.1468	0.3739	1.238	3	3	0.498	1	0.294	0.239	1	1	0.03	-0.62	-0.3533	3	2	1034	9999	9999	60.824	14.563	-1.0211	-1.2132	1.2429	0.0826	9999	-0.5953	1.9316	0.7681	"28NOV13"
"AUS"	360000	"AUS0205"	1	3600	148	1	99.5	0.5	0	0	1	1	2	183	150	43	1	5	0	43	1	4	0	4	0	4	0	4	0	0	0	65	65	65	2	2	2	1	1	1	1	3	3	1	1	2	3	3	2	1	2	2	1	3	1	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	3	3	4	3	3	3	2	3	3	3	3	3	4	3	2	2	2	2	3	15	2	20	20	10	35	0	10	0	5	0	1	1	0	2	3	2	3	3	2	3	2	3	2	1	1	2	2	1	1	3	2	3	3	3	3	2	1	3	1	3	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	6	2	4	2	4	5	6	6	6	6	4	2	6	5	2	4	4	3	4	4	3	5	50	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	7	18	1	2	-0.0958	0.9289	1.7628	0.2118	3	3	0.45	0.115	1	0.092	1	1	1.44	-0.56	-0.3533	3	3	333	-0.1662	-0.3482	83.25	7.655	-1.7144	-1.2132	1.2429	-1.8308	-1.0911	-1.5763	6.4192	2.5526	"28NOV13"
"AUS"	360000	"AUS0616"	1	3600	149	2	80	20	0	0	3	1	3	249	321	34	13	34	13	34	13	6	2	6	2	4	1	6	2	0	0	78	78	78	2	2	5	1	1	3	2	1	1	1	1	1	1	3	1	3	2	1	3	2	1	1	1	1	2	1	2	2	2	1	1	1	2	1	2	1	2	1	1	1	1	1	4	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	2	3	5	40	20	0	5	0	1	2	2	15	5	2	2	1	1	2	2	1	1	1	2	1	1	1	2	1	1	1	1	3	1	3	1	1	2	2	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	1	2	1	1	2	1	2	6	3	6	6	4	6	6	5	2	6	6	4	6	4	3	3	2	4	5	5	4	10	100	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	5	23	1	2	1.0746	0.9289	0.1183	1.238	2	1	0.563	1	0.643	0.173	1	1	-0.43	-0.02	0.3196	2	1	570	-0.4622	1.976	81.429	14.074	1.958	1.2831	0.7801	0.4686	0.4567	1.9386	3.0396	1.2087	"28NOV13"
