CNT	SUBNATIO	STRATUM	OECD	NC	SCHOOLID	SC01Q01	SC02Q01	SC02Q02	SC02Q03	SC02Q04	ausSC03N01	SC04Q01	SC05Q01	SC07Q01	SC07Q02	SC09Q11	SC09Q12	SC09Q21	SC09Q22	SC09Q31	SC09Q32	SC10Q11	SC10Q12	SC10Q61	SC10Q62	SC10Q21	SC10Q22	SC10Q41	SC10Q42	SC10Q51	SC10Q52	SC11Q01	SC11Q02	SC11Q03	SC13Q01	SC13Q02	SC13Q03	SC14Q01	SC14Q02	SC14Q03	SC14Q04	SC14Q05	SC14Q06	SC14Q07	SC14Q08	SC14Q09	SC14Q10	SC14Q11	SC14Q12	SC14Q13	SC15Q01	SC15Q02	SC15Q03	SC15Q04	SC16Q01	SC16Q02	SC16Q03	SC16Q04	SC16Q05	SC16Q06	SC16Q07	SC16Q08	SC16Q09	SC16Q10	SC16Q11	SC18Q01	SC18Q02	SC18Q03	SC18Q04	SC18Q05	SC18Q06	SC18Q07	SC18Q08	SC19Q01	SC19Q02	SC20Q01	SC21Q05	SC22Q01	SC22Q02	SC22Q03	SC22Q04	SC22Q05	SC22Q06	SC22Q07	SC22Q08	SC22Q09	SC22Q10	SC22Q11	SC22Q12	SC22Q13	SC22Q14	SC22Q15	SC22Q16	SC22Q17	SC22Q18	SC22Q19	SC23Q01	SC24Q01	SC25Q01	SC25Q02	SC25Q03	SC25Q04	SC25Q05	SC25Q06	SC25Q07	SC25Q08	SC25Q09	SC25Q10	SC25Q11	SC25Q12	SC26Q01	SC26Q02	SC26Q03	SC26Q04	SC27Q01	SC27Q02	SC28Q01	SC28Q02	SC29Q01	SC29Q02	SC30Q01	SC30Q02	SC30Q03	SC30Q04	SC31Q01	SC31Q02	SC31Q03	SC31Q04	SC31Q05	SC31Q06	SC31Q07	SC32Q01	SC32Q03	SC32Q04	SC32Q05	SC32Q06	SC32Q07	SC32Q08	SC33Q01A	SC33Q01B	SC33Q01C	SC33Q01D	SC33Q01E	SC33Q02A	SC33Q02B	SC33Q02C	SC33Q02D	SC33Q02E	SC33Q03A	SC33Q03B	SC33Q03C	SC33Q03D	SC33Q03E	SC33Q04A	SC33Q04B	SC33Q04C	SC33Q04D	SC33Q04E	SC33Q05A	SC33Q05B	SC33Q05C	SC33Q05D	SC33Q05E	SC33Q06A	SC33Q06B	SC33Q06C	SC33Q06D	SC33Q06E	SC33Q07A	SC33Q07B	SC33Q07C	SC33Q07D	SC33Q07E	SC33Q08A	SC33Q08B	SC33Q08C	SC33Q08D	SC33Q08E	SC33Q09A	SC33Q09B	SC33Q09C	SC33Q09D	SC33Q09E	SC33Q10A	SC33Q10B	SC33Q10C	SC33Q10D	SC33Q10E	SC33Q11A	SC33Q11B	SC33Q11C	SC33Q11D	SC33Q11E	SC33Q12A	SC33Q12B	SC33Q12C	SC33Q12D	SC33Q12E	SC34Q01	SC34Q02	SC34Q03	SC34Q04	SC34Q05	SC34Q06	SC34Q07	SC34Q08	SC34Q09	SC34Q10	SC34Q11	SC34Q12	SC34Q13	SC34Q14	SC34Q15	SC34Q16	SC34Q17	SC34Q18	SC34Q19	SC34Q20	SC34Q22	SC35Q01	SC35Q02	SC39Q01	SC39Q02	SC39Q03	SC39Q05	SC39Q06	SC39Q07	SC39Q08	SC39Q09	SC39Q10	SC40Q01	SC40Q02	SC40Q03	SC44Q01	SC44Q02	SC44Q03	SC44Q04	SC44Q05	SC44Q06	SC47Q01	SC45Q01	SC46Q01	SC46Q02	SC46Q03	SC46Q05	SC46Q04	SC46Q06	SC46Q09	SC52Q01	SC46Q07	SC46Q08	SC52Q02	SC51Q01	SC51Q02	ABGMATH	ASSESS	CLSIZE	COMPWEB	CREACTIV	LEADCOM	LEADINST	LEADPD	LEADTCH	MACTIV	MATHEXC	PCGIRLS	PROPCERT	PROPMA5A	PROPMATH	PROPQUAL	RATCMP15	RESPCUR	RESPRES	SCHAUTON	SCHLTYPE	SCHSEL	SCHSIZE	SCMATBUI	SCMATEDU	SMRATIO	STRATIO	STUDCLIM	TCFOCST	TCHPARTI	TCMORALE	TCSHORT	TEACCLIM	W_FSCHWT	SENWGT_SCQ	VER_SCQ	ausSC53A01	ausSC53A02	ausSC53A03	ausSC54A01	ausSC54A02	ausSC54A03	ausSC55A01	ausSC56A01
AUS	0360000	AUS0514	1	003600	0000183	1	9998	9998	9998	9998	7	1	03	280	272	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	80	450	450	2	1	3	1	3	1	1	1	2	3	3	2	1	3	2	2	2	2	2	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	4	2	2	2	2	3	3	2	3	2	2	2	2	3	3	2	3	1	2	2	30	2	40	50	30	40	5	5	0	2	0	3	0	1	1	2	2	2	3	2	3	2	3	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	3	3	3	3	1	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	2	1	2	2	2	2	1	2	1	2	1	1	2	2	2	3	4	4	5	5	5	4	3	4	4	4	3	4	4	4	3	4	4	5	5	4	100	100	1	1	1	1	1	1	1	2	2	2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	5	23	1	2	.7162	.493	-.3717	-.0388	4	1	.493	9999	9999	9999	9999	5.625	-.43	-.53	-.0586	3	1	552	-.4622	-.1702	9999	9999	-.8253	-1.2132	1.2429	.0826	.1524	-.7478	1.688	.6712	28NOV13	100	100	100	9999	9999	9999	9999	80
AUS	0360000	AUS0101	1	003600	0000184	2	9998	9998	9998	9998	6	1	04	783	957	117	9998	117	9998	117	9998	9998	9999	16	9999	10	9999	16	9999	9999	9998	305	305	305	3	3	4	1	1	3	3	2	2	1	3	2	2	2	2	2	1	3	2	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	2	1	2	1	2	2	1	1	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	.2	2	10	25	10	30	0	5	0	5	5	1	0	0	2	2	2	2	2	3	2	3	2	2	2	1	1	2	1	1	3	2	2	2	3	2	2	3	1	3	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	1	1	2	2	1	1	2	2	2	1	1	2	1	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	1	2	2	2	1	1	6	4	4	4	5	4	4	4	4	4	4	3	3	3	4	4	4	3	4	4	2	10	50	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	4	28	1	2	.3404	.493	-.6241	-.0388	4	3	.55	1	9999	9999	1	1	-.81	-.02	-.3533	9	2	1740	-.1662	-.1702	9999	14.872	.0882	-.6748	.7801	-.7371	.7093	-.4382	1	.3976	28NOV13	60	60	60	3	3	3	25	300
AUS	0360000	AUS0309	1	003600	0000185	2	46	53	0	1	4	1	03	334	350	47	28	47	28	43	25	17	3	17	3	12	1	17	3	0	0	92	252	252	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	10	35	80	35	0	5	0	0	0	1	3	6	2	2	1	1	3	2	1	3	2	1	1	2	2	2	1	1	3	2	2	2	3	3	2	3	3	3	1	2	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	6	3	3	3	3	4	1	4	4	5	4	4	3	4	4	2	4	4	1	1	1	0	80	1	1	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	8	23	1	2	-.0958	.0432	-1.4262	.4499	4	3	.512	1	.676	.303	.91	2.739	1.44	2.71	1.6038	1	3	684	1.3052	1.976	36.973	11.213	1.958	-1.2132	1.2429	.4686	.1524	1.9386	4.7187	1.8764	28NOV13	50	50	50	4	4	4	30	100
AUS	0360000	AUS0618	1	003600	0000186	2	17	83	0	0	7	1	03	20	1180	130	40	130	40	130	40	15	3	15	3	15	3	15	3	0	0	100	100	100	2	2	3	1	1	1	1	1	1	1	9	9	9	9	9	9	2	1	2	2	1	1	1	1	2	1	2	9	9	9	9	1	2	1	2	1	1	1	9	1	1	1	3	1	2	2	2	2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	0	1	20	15	20	20	0	20	5	9999	9999	9999	9999	9999	2	2	1	1	2	3	2	2	2	9	1	1	1	2	1	1	1	1	2	1	3	2	2	1	2	2	1	1	1	1	2	2	2	1	2	1	2	2	1	2	1	2	2	1	1	1	2	2	1	1	1	2	2	1	2	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	2	4	3	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	100	1	1	1	1	1	1	1	9	9	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	5	23	1	2	-.2846	.0494	9999	9999	3	3	.983	1	1	.11	1	1	-.81	2.71	-.6029	1	2	1200	9999	1.4516	72.727	8	.1687	.0095	.2924	.4686	-1.0911	9999	1.9162	.762	28NOV13	60	60	60	9999	9999	9999	25	24
AUS	0360000	AUS0513	1	003600	0000187	2	77	18	1.4	3.6	8	1	04	681	698	91	21	91	21	91	21	20	0	20	0	3	0	20	0	0	0	173	333	333	3	4	4	3	3	3	3	1	1	1	3	2	3	2	1	2	2	2	3	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	1	1	1	2	2	1	3	2	2	2	1	2	1	1	3	3	1	2	1	2	1	2	2	0	2	15	65	20	70	0	2	2	8	0	2	2	2	2	2	1	2	2	2	1	2	2	1	1	1	1	2	1	1	3	2	3	2	2	3	1	3	3	3	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	2	2	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	3	3	3	3	2	5	5	5	5	2	3	1	3	2	3	4	2	5	5	2	2	40	85	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	4	28	1	2	-.6467	.2753	-.1263	-1.9239	3	2	.506	1	.15	.197	1	1.925	1.44	-.02	.3196	2	3	1379	.1539	.018	68.95	13.586	.0882	.0095	-.1437	.0826	1.7565	.0647	1.4394	.5724	28NOV13	50	50	50	5	5	5	31	26
AUS	0360000	AUS0205	1	003600	0000188	1	9998	9998	9998	9998	8	1	04	9999	9999	45	9	45	9	45	9	5	0	5	0	5	0	5	0	0	0	178	50	50	3	3	4	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	2	1	2	1	1	1	2	2	2	3	2	2	2	2	2	1	1	2	3	1	2	2	2	1	1	1	0	2	5	10	70	10	1	0	0	0	0	1	1	0	2	2	2	2	3	2	2	3	2	3	2	1	1	2	1	1	3	1	1	1	2	3	3	1	2	3	3	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	1	2	2	2	5	3	5	3	3	4	4	3	5	5	4	4	4	4	3	2	2	5	4	2	2	10	100	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	2	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	4	28	1	3	.3404	-.2137	-.1263	.4499	2	2	0	1	1	.101	1	.281	-.25	-.56	-.6029	3	3	99999	1.3052	1.976	9999	9999	-.3977	-1.2132	.2924	-.7371	-.2817	.4389	3.0115	1.1975	28NOV13	53	53	53	4	4	4	27	178
AUS	0360000	AUS0411	1	003600	0000189	1	95	5	0	0	6	1	04	156	161	27	4	27	4	27	4	5	0	5	0	2	0	5	0	0	0	117	117	117	3	4	4	3	4	2	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	0	0	40	90	5	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	3	2	3	2	3	3	3	3	1	1	1	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	1	2	6	5	5	6	4	5	1	3	1	9	6	3	1	4	6	4	4	3	3	3	3	20	100	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	3	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	8	28	1	3	1.2642	.2753	-3.8154	.6586	4	1	.508	1	.4	.172	1	1	-.81	-.02	-.3533	3	3	317	1.3052	.224	63.4	10.931	1.5235	2.1197	.2924	1.4452	1.4526	2.8533	4.0437	1.6079	28NOV13	60	60	60	4	4	6	25	117
AUS	0360000	AUS0617	1	003600	0000190	1	48	40	2	10	8	1	04	382	409	60	10	60	10	60	10	7	1	7	1	7	1	7	1	0	0	76	300	300	2	2	2	1	1	1	1	1	1	1	2	1	1	1	3	2	2	2	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	9	3	3	3	3	3	3	2	2	2	2	2	4	3	3	3	3	3	2	2	5	3	20	10	20	30	5	5	0	5	2	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	2	2	3	2	3	2	2	2	2	2	3	2	1	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	2	2	1	2	2	1	2	1	2	2	1	2	1	2	1	1	2	1	2	6	4	4	4	4	5	5	3	5	6	6	4	4	2	5	4	3	2	3	2	4	3	20	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	8	28	1	2	.1329	.2753	.1183	1.238	1	9	.517	1	1	.115	1	3.947	-.81	-.58	-.0586	3	2	791	-.1662	1.1619	105.467	12.169	-1.3831	.0095	1.9955	-.7371	-1.0911	-1.4467	1.4285	.568	28NOV13	55	55	55	4	4	4	25	76
AUS	0360000	AUS0513	1	003600	0000191	2	70	30	0	0	4	1	03	365	572	9998	9998	9999	9999	60	15	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	200	200	200	2	2	5	1	1	3	2	2	2	2	2	2	2	2	3	3	2	2	3	2	1	1	2	2	2	1	2	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	9999	2	10	25	25	50	0	0	0	0	0	1	90	0	2	2	2	2	2	2	3	2	2	2	1	2	1	2	1	1	2	2	3	2	3	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	2	1	2	2	1	1	1	2	2	1	2	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	5	20	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	7	23	1	3	9999	9999	9999	9999	3	2	.61	9999	9999	9999	9999	1	1.44	-.02	.3196	2	1	937	-.763	-.1702	9999	9998	.0882	.0095	.2924	-.7371	.4567	-.2762	1.2258	.4874	28NOV13	50	50	50	4	4	4	35	200
AUS	0360000	AUS0412	1	003600	0000192	2	50	50	0	0	6	1	04	500	500	60	20	60	20	60	20	7	3	7	3	7	3	7	3	0	0	95	95	95	2	2	2	2	2	2	2	2	2	2	1	1	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	3	2	2	3	2	2	2	1	2	3	2	3	2	3	3	2	3	2	2	3	1	1	80	90	80	90	0	20	10	10	5	5	10	10	3	3	2	2	2	3	2	3	3	2	1	1	1	2	1	1	2	2	2	1	3	3	2	3	3	3	1	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	1	2	2	2	1	2	2	2	2	1	1	1	2	2	1	1	1	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	5	5	5	5	5	5	5	5	5	3	5	3	4	5	5	4	5	4	3	3	2	40	100	1	1	1	1	2	1	1	1	1	2	2	1	2	2	1	1	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	6	28	1	3	1.2642	.9289	.1183	-.0388	4	3	.5	1	1	.121	1	1	1.44	-.02	.3196	2	3	1000	.5582	.224	117.647	14.286	-.1621	-1.2132	.7801	-1.8308	.7093	-1.3144	3.467	1.3786	28NOV13	50	50	50	4	4	4	28	26
AUS	0360000	AUS0618	1	003600	0000193	2	70	30	0	0	7	1	03	724	722	71	43	71	43	71	43	9	1	9	1	5	1	4	0	0	0	162	162	162	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	1	2	1	2	1	2	1	1	1	3	1	1	2	1	2	2	2	2	2	2	1	1	1	2	1	2	1	1	1	.5	1	20	10	60	10	90	10	0	10	0	20	50	5	2	2	2	2	1	3	2	2	1	3	2	1	1	2	1	1	3	1	1	2	2	1	1	2	1	3	1	3	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	1	1	1	1	2	2	2	5	3	5	5	4	5	4	4	5	4	4	1	2	3	3	3	1	2	5	4	5	5	50	1	1	1	1	2	2	1	2	1	2	2	2	1	1	1	1	1	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	4	23	1	2	.5331	.493	-.6241	-.6535	4	3	.499	1	.579	.103	1	1	-.25	1.69	.8184	2	1	1446	.5582	1.976	152.211	15.632	.6173	1.2831	.2924	-.7371	-1.0911	.8778	1.7906	.712	28NOV13	60	60	60	4	4	4	26	25
AUS	0360000	AUS0205	1	003600	0000194	1	100	0	0	0	6	2	04	593	0	54	4	54	4	54	4	6	0	6	0	6	0	0	0	0	0	108	108	108	2	2	4	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	2	9	3	3	3	3	3	3	1	2	1	1	1	1	1	3	1	2	1	1	1	10	2	5	10	20	10	0	0	0	1	0	0	0	0	3	3	3	3	3	2	2	3	3	3	1	1	1	2	1	1	1	1	1	1	1	2	3	2	1	3	3	3	1	2	2	1	2	2	2	2	1	1	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	1	2	2	2	2	1	1	1	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	1	1	2	2	1	1	6	3	4	2	2	5	3	3	5	5	5	4	4	5	3	5	3	5	5	4	3	0	100	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	5	28	1	3	.1329	-.2137	-.3717	.6907	1	9	0	1	1	.107	1	1	-.43	-.53	-.0586	3	3	593	1.3052	1.976	98.833	10.589	-1.2067	-1.7632	.2924	-2.4725	-.2817	1.145	3.9663	1.5772	28NOV13	55	55	55	3	3	3	25	27
AUS	0360000	AUS0514	1	003600	0000195	1	98	2	0	0	6	2	03	391	279	43	4	43	4	43	4	9999	9999	9999	9999	9999	9999	9999	9999	9999	9999	129	150	150	5	3	5	3	4	3	2	3	2	1	2	2	2	4	3	4	2	2	2	2	1	2	1	2	2	1	1	2	2	1	1	1	1	1	2	1	2	1	2	2	1	2	9	4	3	4	3	2	2	2	2	3	2	3	2	3	3	2	3	2	2	2	40	2	10	20	10	40	1	1	0	0	1	3	2	0	1	2	1	2	2	3	2	2	2	2	1	1	1	2	1	1	2	2	3	2	2	1	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	1	1	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	1	2	2	1	2	2	2	2	1	2	2	2	1	1	2	2	2	6	3	5	5	5	5	4	5	5	5	6	5	5	4	4	4	4	4	5	4	5	8	40	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	5	23	1	1	.7162	.9289	.1183	1.238	1	9	.416	1	9999	9999	1	1.163	1.44	.67	-.3533	3	1	670	-1.9349	-.1702	9999	14.889	-1.3831	.0095	1.6345	.4686	1.7565	-1.1788	1.8213	.7242	28NOV13	50	50	50	4	4	4	30	23
AUS	0360000	AUS0617	1	003600	0000196	1	93.2	4.9	.3	1.6	3	1	03	286	287	41	6	41	6	41	6	5	2	5	2	5	2	5	2	0	0	74	74	74	3	3	3	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	3	1	1	2	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2	2	2	3	2	2	2	2	2	2	1	2	1	1	1	1	1	1.7	2	20	25	50	30	0	20	0	15	10	10	40	30	1	1	1	1	3	2	1	2	3	1	1	1	1	2	1	1	3	3	3	3	2	3	3	1	3	1	3	1	1	1	2	2	2	1	2	2	1	2	1	2	2	1	2	2	2	2	1	2	1	2	2	1	2	1	2	2	2	2	1	1	1	2	2	1	1	1	2	2	1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	1	1	2	1	2	6	2	2	3	4	4	5	4	5	4	5	3	4	4	5	3	3	4	4	3	4	100	10	1	1	1	1	2	1	1	2	2	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	3	8	23	1	2	-.6467	.2753	.1183	.2118	2	1	.501	1	1	.136	1	1	-.25	-.26	.3196	3	3	573	1.3052	1.1619	95.5	13.023	-.3977	-1.2132	.7801	1.4452	-1.0911	.6468	2.5396	1.0098	28NOV13	64	64	64	4	4	4	25	74
AUS	0360000	AUS0204	1	003600	0000197	2	5	95	0	0	2	1	02	96	67	19	8	19	8	19	8	4	1	4	1	1	0	4	1	0	0	33	60	60	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	0	2	10	20	15	15	0	10	0	0	0	0	0	0	1	1	1	1	2	3	1	2	2	2	1	1	2	2	1	1	3	2	2	1	3	3	2	3	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	2	2	2	2	6	4	4	6	4	5	5	5	6	5	6	3	4	4	5	3	3	3	1	2	3	10	80	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	8	18	1	3	.8948	.7066	.3739	.6907	3	3	.411	1	.222	.196	1	1.818	-.25	-.02	-.0586	1	3	163	1.3052	1.976	36.222	7.087	.3493	.0095	-1.0488	1.4452	-1.0911	-.5953	19.7203	7.8417	28NOV13	60	60	60	4	4	4	30	15
AUS	0360000	AUS0308	1	003600	0000198	1	94	6	0	0	6	1	03	0	930	57	22	57	22	57	22	15	3	15	3	6	1	15	3	0	0	115	115	115	2	2	2	7	7	7	7	7	7	7	7	7	7	7	7	7	2	2	2	2	1	1	1	1	2	1	2	9	9	9	9	1	1	1	1	1	1	1	9	1	1	2	9	2	2	2	2	2	2	2	9	9	9	9	9	9	9	9	9	9	9	9	3	2	10	40	20	50	0	1	0	9999	9999	9999	9999	9999	2	2	2	1	2	3	2	3	2	9	1	1	2	2	2	1	3	2	3	2	3	2	2	1	2	2	2	3	1	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	2	4	6	6	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	5	22	1	1	1	1	1	1	1	9	9	2	2	1	7	7	7	7	7	7	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	7	23	1	2	.5039	1.6132	9999	9999	1	9	1	1	.394	.243	1	1	-.81	-.62	-1.5265	3	2	930	9999	9999	56.364	13.676	-.1172	-.6748	-1.8472	.0826	9999	9999	3.1878	1.2676	28NOV13	50	50	50	5	5	5	30	23
AUS	0360000	AUS0205	1	003600	0000199	1	90	8	2	0	8	1	03	372	170	52	8	52	8	52	8	7	0	7	0	7	0	7	0	0	0	108	106	106	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	5	2	5	30	10	50	0	2	0	0	2	5	5	0	2	1	1	1	2	2	2	3	2	2	1	1	1	2	1	1	1	2	3	2	3	1	2	1	2	1	1	1	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	1	2	1	2	2	2	2	1	1	2	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	1	2	1	1	2	2	2	5	6	6	6	5	5	5	5	5	5	6	5	5	5	5	4	4	4	4	4	6	2	14	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	9	9	9	9	9	9	9	9	9	9	9	9	9	9999	9999	2	4	23	1	3	2.1016	.9289	.3739	1.238	2	2	.314	1	1	.125	1	.981	.03	-.7	-.6029	3	2	542	1.3052	1.976	77.429	9.679	.0882	-.6748	.7801	.8541	-1.0911	2.8533	4.6909	1.8653	28NOV13	50	50	50	4	4	4	30	108
