"STRATUM","SCHOOLID","StIDStd","BIRTHMONTH","BIRTHYEAR","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV1MATH_LEVEL","PV2MATH_LEVEL","PV3MATH_LEVEL","PV4MATH_LEVEL","PV5MATH_LEVEL","STATE","GEOLOC","GENDER","INDIG","ESCS_Q","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST29Q02","ST29Q05","ST29Q07","ST29Q08","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST37Q01","ST37Q02","ST37Q03","ST37Q04","ST37Q05","ST37Q06","ST37Q07","ST37Q08","ST91Q01","ST91Q02","ST91Q03","ST91Q04","ST91Q05","ST91Q06","ST43Q01","ST43Q02","ST43Q03","ST43Q04","ST43Q05","ST43Q06","ST44Q01","ST44Q03","ST44Q04","ST44Q05","ST44Q07","ST44Q08","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST35Q01","ST35Q02","ST35Q03","ST35Q04","ST35Q05","ST35Q06"
"AUS0720",385,7135,5,1996,-0.93,396.4091,415.1036,404.1985,404.1985,412.7668,2,2,2,2,2,"TAS","Urban","Male","Non-indigenous",1,4,4,4,4,2,3,2,2,2,3,3,3,3,2,1,1,1,2,3,3,2,1,1,3,2,1,2,2,2,3,3,2,2,3,2,3,2,1,2,2,2,3,3,2,3,3,3,2,2,3
"AUS0411",386,7142,6,1996,1.11,532.3337,488.7132,517.5339,491.8289,485.5974,4,4,4,4,4,"QLD","Urban","Female","Non-indigenous",4,3,2,2,3,2,2,2,2,3,2,2,2,3,1,3,2,3,1,4,1,3,1,2,3,2,2,3,1,1,2,1,1,3,2,4,3,2,4,3,1,3,3,3,2,1,1,2,1,1,2
"AUS0411",386,7149,9,1996,-0.69,536.3063,528.5169,492.6858,471.6545,521.5065,4,4,4,3,4,"QLD","Urban","Male","Non-indigenous",1,3,3,4,3,2,2,2,3,2,3,3,4,2,2,3,2,2,2,2,1,3,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,3,2,2,3,2,2,3,3,2,2,3,2,2,2
"AUS0411",386,7150,8,1996,1.03,647.6165,675.6582,628.143,623.4694,677.2161,6,7,6,6,7,"QLD","Urban","Male","Non-indigenous",4,3,3,3,2,1,1,1,3,3,2,2,3,3,1,1,1,1,1,1,1,1,2,3,4,1,2,3,1,2,4,1,2,4,2,1,4,4,2,4,3,3,3,3,2,1,2,3,2,2,3
"AUS0411",386,7151,12,1996,0.99,627.2083,574.2405,591.3772,564.1143,605.398,6,5,5,5,5,"QLD","Urban","Male","Indigenous",4,2,3,2,2,2,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,3,2,4,1,1,3,3,1,4,3,1,4,4,2,4,3,3,4,4,4,2,2,3,2,1,2
"AUS0411",386,7152,6,1996,-0.15,433.3307,473.8355,540.0452,508.8877,465.2672,3,3,4,4,3,"QLD","Urban","Male","Non-indigenous",2,3,3,3,3,2,2,2,2,2,3,3,3,3,2,3,2,1,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,3,3,1,2,3
"AUS0411",386,7158,8,1996,-1.01,391.1902,417.6741,444.158,428.5792,407.5479,2,2,3,3,2,"QLD","Urban","Female","Non-indigenous",1,4,4,4,4,3,3,4,4,2,3,3,4,3,2,3,3,2,1,3,2,3,2,1,2,3,1,3,2,2,2,3,2,3,2,3,3,2,2,3,2,3,3,2,2,3,3,4,2,3,3
"AUS0514",387,7166,10,1996,-1.1,386.7503,456.8547,399.9922,447.5074,403.8869,2,3,2,3,2,"SA","Urban","Female","Non-indigenous",1,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,3,3,2,3,2,2,1,1,2,3,2,3,2,2,3,3,2,2,2,3,3,4,4,2,3,3,2,3,2,2,2,3,2,2,3
"AUS0514",387,7169,1,1997,0.04,486.3764,489.4921,542.4599,547.1335,524.5443,4,4,4,5,4,"SA","Urban","Male","Non-indigenous",2,3,3,3,3,2,2,2,2,3,2,4,3,4,2,3,3,2,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,2,2,3,3,2,3,3,2,3,3,3,2,2,2,4,2,2,3
"AUS0204",388,7171,6,1996,1.12,668.2583,601.2697,660.4689,627.7535,594.2592,6,5,6,6,5,"VIC","Urban","Female","Non-indigenous",4,3,3,2,3,3,3,3,2,3,2,2,1,3,1,1,1,1,1,2,1,2,1,1,2,3,1,3,1,1,2,2,2,3,3,2,4,2,2,4,2,3,3,3,1,3,3,3,1,2,2
"AUS0204",388,7176,5,1996,1.48,627.9093,657.509,640.3723,618.5621,650.4985,6,6,6,6,6,"VIC","Urban","Male","Non-indigenous",4,2,3,1,1,1,1,1,1,4,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,3,1,3,3,1,4,4,4,3,4,4,4,3,4,4,4,3,2,2,4,1,1,2
"AUS0204",388,7178,6,1996,1.55,624.4041,635.3092,660.2352,678.1508,620.5094,6,6,6,7,6,"VIC","Urban","Male","Non-indigenous",4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,4,1,4,1,1,3,4,1,4,4,4,4,3,4,3,3,2,4,4,1,2,2,2,1,1,1
"AUS0308",389,7180,7,1996,-0.27,476.2502,480.1449,443.5348,414.7141,411.5984,3,3,3,2,2,"NSW","Provincial","Male","Non-indigenous",2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,3,3,3,3,3,2,3,3,2,2,2
"AUS0308",389,7184,7,1996,0.63,571.2027,533.8137,628.0651,540.8241,570.4237,5,4,6,4,5,"NSW","Provincial","Male","Non-indigenous",3,3,3,3,2,2,2,2,2,3,2,2,2,3,2,3,3,2,2,3,2,4,1,1,3,2,1,3,2,2,3,2,2,3,2,2,3,2,2,4,3,3,3,3,2,2,3,3,1,1,3
