"Feature","Gain","Cover","Frequence"
"ST37Q05",0.161489211228881,0.0176708885899394,0.0140213787971044
"ESCS",0.123225485742125,0.16569380261584,0.149228739598133
"ST37Q03",0.0456956622496461,0.0169242066176919,0.0161102090521616
"ST37Q02",0.0428711981829636,0.0158716507640384,0.0145710709694879
"STATE",0.031368903084396,0.0475061162913459,0.0466054394154658
"ST43Q06",0.0245621401204956,0.0125032419654939,0.013327920979636
"ST42Q02",0.0224673088307037,0.0142843620267009,0.0134378594141127
"ST91Q06",0.0216667700562627,0.0163965482897456,0.0159749002097287
"INDIG",0.0187703016040347,0.0127817235121839,0.0109853866450173
"ST37Q06",0.0180697427483866,0.0184913645053693,0.0181990393072187
"ST42Q08",0.0175317781635156,0.0134402036045638,0.0145626141668358
"ST44Q03",0.0167273908251541,0.0212258528481191,0.0210320681956566
"ST35Q03",0.0163247332111272,0.0177047227965466,0.018089100872742
"ST37Q01",0.0162278837140389,0.0160358753597293,0.0149347134835261
"ST44Q08",0.0157317023556159,0.0213786028595038,0.0216916988025167
"ST37Q04",0.0153519397985981,0.0140177576813103,0.0150784791286111
"ST42Q07",0.0140162979591471,0.0199971664391186,0.0178353967931804
"ST44Q01",0.0135703518518827,0.0189574655708908,0.019509843718287
"ST44Q07",0.0133140911649868,0.0226500817032102,0.0213449698937826
"ST43Q03",0.0132020942019183,0.0166707879788286,0.017767742371964
"ST29Q03",0.0130219454011114,0.0167988920785581,0.0163131723158108
"ST44Q05",0.0127615666997174,0.0168447185198914,0.0195944117448075
"ST91Q04",0.0123005827816017,0.0174404047405103,0.0183174345443475
"ST91Q03",0.0122619789332184,0.0168090006409231,0.0182582369257831
"ST37Q08",0.0121227067459755,0.0166125235482411,0.0186472498477776
"ST43Q04",0.0119870976677078,0.0178901279219155,0.0183850889655639
"ST42Q05",0.0118983218404059,0.0115122289950868,0.0128035992152087
"ST35Q06",0.0117859010642623,0.01673753612463,0.0175901495162709
"ST37Q07",0.0116097192442398,0.0132749005704982,0.0136154522698058
"ST42Q04",0.011576913216018,0.0148374139835755,0.013801501928151
"ST44Q04",0.0115255509163388,0.0172822193997173,0.0190870035856843
"ST29Q01",0.0112731472979579,0.0160302962385378,0.017446383871186
"ST91Q05",0.0107606425278821,0.0133835640211274,0.0132771801637237
"ST29Q08",0.0102912307042058,0.0168096908414829,0.014435762127055
"ST91Q02",0.0100927766278245,0.0143663521015306,0.0152729855896083
"ST42Q10",0.00974169160538431,0.0142530729346579,0.0163047155131588
"ST42Q01",0.0095189479333639,0.013688718943617,0.0153237264055206
"ST43Q02",0.00937899578101877,0.0127883091758584,0.0137845883228469
"ST29Q06",0.00934911770606498,0.0127970948538172,0.0138606995467154
"ST35Q01",0.00906007939080237,0.0127331794061465,0.0137592179148907
"ST35Q02",0.00859734119118343,0.0137567180779329,0.014275082876666
"ST91Q01",0.00855759441021275,0.010634782775119,0.0126090927542115
"ST43Q05",0.00839922489260554,0.0116293042650383,0.0119663757526554
"ST35Q04",0.00823094136502055,0.0136767986047826,0.0119325485420472
"ST29Q05",0.00809363376184797,0.0146522820625948,0.012524524727691
"ST35Q05",0.00805298441795816,0.0157794514725954,0.0123046478587376
"ST42Q06",0.00801633544662904,0.011498453742248,0.0131756985318991
"GEOLOC",0.00785920580995214,0.0107838085793166,0.0129389080576416
"ST29Q04",0.00770619213830947,0.0101731392548793,0.0116027332386171
"ST42Q09",0.00764928742554591,0.0111774673444187,0.0129473648602936
"ST29Q02",0.00740963952490647,0.0113292970883904,0.0125076111223868
"GENDER",0.00723258638915126,0.0100549999257315,0.013480143427373
"ST29Q07",0.00705360138781135,0.0118828810748631,0.0123469318719978
"ST42Q03",0.00698979514039232,0.0109635195500675,0.0121947094242609
"ST43Q01",0.0056477355194928,0.00891442912152869,0.00900649482443678
